    10 ||      21 |    2.144 ||      19 |    1.902 ||      22 |    2.239
    30 ||      61 |    2.041 ||      59 |    1.963 ||      64 |    2.148
   100 ||     239 |    2.389 ||     214 |    2.135 ||     217 |    2.165
   300 ||     855 |    2.851 ||     848 |    2.826 ||     795 |    2.651
  1000 ||    3790 |    3.790 ||    3369 |    3.369 ||    3429 |    3.429
  3000 ||   12802 |    4.267 ||   11582 |    3.861 ||   11592 |    3.864
 10000 ||   45511 |    4.551 ||   42374 |    4.237 ||   46136 |    4.614
 30000 ||  152213 |    5.074 ||  159306 |    5.310 ||  152779 |    5.093
100000 ||  567031 |    5.670 ||  553566 |    5.536 ||  557889 |    5.579
